unix_ts,frame,x,y
3.1711777777777854,15544,356,303
3.185144444444461,15545,358,301
3.1996666666666727,15546,358,301
3.2127777777777737,15547,359,301
3.226288888888888,15548,357,304
3.2439666666666653,15549,357,304
3.254055555555567,15550,355,309
3.2688333333333333,15551,355,309
3.282744444444461,15552,355,308
3.296155555555572,15553,340,311
3.3100333333333367,15554,340,311
3.323822222222219,15555,311,312
3.338344444444459,15556,311,312
3.352300000000014,15557,311,321
3.3666666666666742,15558,311,320
3.379644444444466,15559,312,320
3.4015666666666675,15560,312,320
3.415544444444464,15561,312,320
3.4287666666666894,15562,312,312
3.4433222222222355,15563,313,311
3.4569555555555667,15564,313,309
3.470877777777787,15565,314,308
3.484855555555555,15566,314,306
3.4990333333333297,15567,316,310
3.512388888888893,15568,318,306
3.5257666666666694,15569,320,305
3.5404111111111263,15570,322,300
3.5540555555555784,15571,325,292
3.5681000000000154,15572,328,292
3.5815333333333115,15573,330,283
3.595277777777767,15574,348,342
3.6090666666666777,15575,351,331
3.6230222222222324,15576,352,438
3.6381777777777984,15577,354,424
3.651311111111113,15578,357,409
3.6658666666666875,15579,353,440
3.679077777777792,15580,356,423
3.6924555555555685,15581,350,461
3.7070888888889044,15582,353,441
3.7205000000000155,15583,355,423
3.7349111111111313,15584,350,459
3.748733333333348,15585,352,445
3.761688888888898,15586,348,486
3.7759222222222206,15587,350,474
3.789788888888893,15588,363,498
3.804411111111108,15589,364,489
3.8181888888888977,15590,365,483
3.832899999999995,15591,366,475
3.8462777777778,15592,366,472
3.8591777777777736,15593,388,480
3.873577777777797,15594,388,476
3.886922222222239,15595,387,471
3.901833333333343,15596,390,452
3.9159111111111145,15597,390,454
3.9285333333333483,15598,389,461
3.942655555555575,15599,389,461
3.9565333333333115,15600,382,465
3.970400000000012,15601,382,466
3.9847000000000037,15602,382,466
3.999444444444464,15603,378,466
4.011977777777787,15604,378,466
4.025633333333332,15605,377,465
4.040533333333343,15606,377,463
4.053933333333333,15607,377,461
4.068044444444439,15608,379,460
4.082122222222239,15609,378,459
4.095388888888891,15610,370,456
4.1094888888889045,15611,369,456
4.123022222222232,15612,384,457
4.137355555555558,15613,383,456
4.151222222222231,15614,382,456
4.16587777777778,15615,429,433
4.178655555555565,15616,427,434
4.192477777777782,15617,444,402
4.2067888888888945,15618,443,403
4.220511111111108,15619,442,403
4.235255555555568,15620,443,403
4.248422222222217,15621,442,403
4.2619555555555735,15622,428,404
4.276144444444441,15623,428,405
4.290044444444447,15624,425,405
4.3039888888889095,15625,425,406
4.3180222222222255,15626,425,406
4.332444444444462,15627,426,413
4.345600000000019,15628,426,413
4.35901111111113,15629,422,411
4.373655555555558,15630,422,411
4.3872333333333415,15631,417,411
4.4015777777777885,15632,417,410
4.415255555555575,15633,417,410
4.428544444444441,15634,415,397
4.44313333333335,15635,416,398
4.456844444444442,15636,391,364
4.470933333333335,15637,392,365
4.48490000000001,15638,393,366
4.4991111111111195,15639,387,356
4.512155555555552,15640,389,355
4.525877777777794,15641,383,350
4.540400000000005,15642,385,349
4.554188888888888,15643,383,349
4.5683666666666625,15644,385,348
4.581855555555563,15645,387,346
4.595688888888901,15646,385,348
4.609433333333328,15647,386,347
4.623288888888908,15648,388,349
4.637777777777785,15649,389,350
4.651311111111113,15650,391,350
4.665677777777773,15651,394,354
4.678788888888903,15652,395,353
4.692488888888903,15653,398,364
4.707222222222242,15654,400,362
4.720811111111118,15655,400,363
4.735222222222262,15656,402,364
4.753044444444441,15657,405,364
4.768744444444451,15658,403,369
4.776633333333336,15659,406,370
4.790033333333355,15660,378,409
4.8039888888889095,15661,381,409
4.818477777777787,15662,384,408
4.832622222222227,15663,317,468
4.845588888888898,15664,319,464
4.859033333333343,15665,313,497
4.873700000000014,15666,314,492
4.8878111111111195,15667,321,495
4.901611111111123,15668,323,494
4.915544444444464,15669,325,494
4.928677777777779,15670,338,501
4.942777777777792,15671,341,501
4.956800000000015,15672,341,504
4.97097777777779,15673,342,503
4.984855555555555,15674,345,510
4.999288888888884,15675,347,509
5.012266666666676,15676,350,508
5.040388888888884,15678,353,515
5.05457777777778,15679,351,506
5.068211111111111,15680,353,503
5.082266666666669,15681,355,500
5.109877777777797,15683,353,504
5.123211111111118,15684,351,503
5.137444444444441,15685,352,502
5.151544444444454,15686,353,501
5.165811111111111,15687,354,507
5.1789888888889095,15688,355,507
5.1924000000000206,15689,360,509
5.20705555555557,15690,361,509
5.220844444444452,15691,362,516
5.235366666666664,15692,364,516
5.249366666666674,15693,365,516
5.261844444444449,15694,374,529
5.276155555555562,15695,374,528
5.290155555555572,15696,371,526
5.304177777777795,15697,372,525
5.31813333333335,15698,373,525
5.3326000000000136,15699,365,527
5.345666666666688,15700,365,528
5.359277777777777,15701,363,503
5.373644444444466,15702,363,504
5.387422222222227,15703,356,505
5.401499999999999,15704,357,506
5.415722222222229,15705,357,508
5.428433333333345,15706,362,509
5.442822222222219,15707,363,510
5.456522222222219,15708,371,514
5.470655555555567,15709,371,516
5.484888888888889,15710,371,516
5.499144444444454,15711,369,510
5.512266666666676,15712,368,508
5.5256555555555735,15713,364,503
5.540477777777795,15714,362,502
5.5543222222222255,15715,359,501
5.568566666666669,15716,358,499
5.582222222222242,15717,356,496
5.595388888888891,15718,358,495
5.60937777777778,15719,355,492
5.623066666666688,15720,355,476
5.6378111111111195,15721,352,474
5.651244444444444,15722,356,466
5.666077777777787,15723,353,464
5.678899999999999,15724,351,462
5.692333333333352,15725,349,458
5.707444444444462,15726,347,456
5.7207888888889045,15727,361,449
5.735155555555565,15728,359,447
5.7491111111111195,15729,357,446
5.761788888888901,15730,349,444
5.776188888888896,15731,348,444
5.790344444444457,15732,351,436
5.80532222222223,15733,350,436
5.818433333333331,15734,351,437
5.832533333333345,15735,350,437
5.846011111111125,15736,349,437
5.859066666666678,15737,340,445
5.873955555555568,15738,338,447
5.887333333333345,15739,339,458
5.901766666666674,15740,337,460
5.91521111111112,15741,335,462
5.928555555555562,15742,337,464
5.9430777777777735,15743,335,466
5.956133333333355,15744,331,466
5.970944444444456,15745,329,466
5.9849777777778,15746,328,465
5.998944444444447,15747,326,464
6.012044444444456,15748,324,464
6.026266666666686,15749,321,466
6.041566666666682,15750,319,467
6.054344444444467,15751,312,468
6.068588888888911,15752,310,468
6.081911111111111,15753,312,440
6.095222222222219,15754,311,440
6.109466666666663,15755,309,441
6.122777777777799,15756,295,442
6.138066666666674,15757,293,443
6.151533333333333,15758,292,444
6.165555555555557,15759,290,445
6.179255555555557,15760,288,445
6.192433333333355,15761,291,429
6.2070777777777835,15762,290,429
6.221244444444466,15763,285,428
6.236211111111118,15764,284,428
6.248355555555577,15765,283,426
6.262166666666673,15766,282,425
6.276088888888893,15767,281,425
6.289511111111125,15768,281,419
6.304466666666684,15769,280,420
6.318144444444442,15770,282,421
6.332333333333338,15771,281,421
6.359077777777799,15773,280,421
6.373644444444466,15774,283,428
6.3875222222222305,15775,286,428
6.401977777777773,15776,286,428
6.416277777777793,15777,287,429
6.442977777777799,15779,286,431
6.45638888888891,15780,286,432
6.4709,15781,289,424
6.485222222222262,15782,289,426
6.499188888888909,15783,296,426
6.526011111111131,15785,296,426
6.540411111111126,15786,301,422
6.554100000000005,15787,301,422
6.5691888888889025,15788,305,418
6.59545555555556,15790,304,415
6.609811111111128,15791,304,416
6.623255555555573,15792,303,418
6.638200000000012,15793,305,413
6.666055555555573,15795,309,408
6.692777777777792,15797,307,407
6.707255555555577,15798,307,406
6.721111111111128,15799,305,406
6.7359888888888975,15800,305,405
6.7490999999999985,15801,303,404
6.762344444444466,15802,366,424
6.7768111111111295,15803,364,422
6.789877777777775,15804,361,422
6.805044444444462,15805,442,482
6.833366666666677,15807,446,506
6.859644444444456,15809,445,505
6.874177777777788,15810,449,506
6.887922222222244,15811,449,506
6.902988888888899,15812,446,506
6.9156222222222254,15813,447,506
6.929311111111133,15814,445,505
6.943788888888889,15815,446,504
6.9570666666666625,15816,446,503
6.9719444444444605,15817,445,506
6.985777777777798,15818,445,505
6.999944444444452,15819,443,495
7.0131000000000085,15820,442,493
7.02651111111112,15821,442,493
7.0414444444444655,15822,442,493
7.054633333333328,15823,441,492
7.069400000000002,15824,446,495
7.083011111111119,15825,446,495
7.096266666666679,15826,450,501
7.110377777777785,15827,450,501
7.123922222222234,15828,450,500
7.138877777777793,15829,451,512
7.152666666666676,15830,451,511
7.166711111111113,15831,447,512
7.179755555555573,15832,447,512
7.193188888888898,15833,439,512
7.207811111111113,15834,439,512
7.221377777777775,15835,440,512
7.236488888888886,15836,439,513
7.249311111111126,15837,440,513
7.263211111111133,15838,439,515
7.276988888888894,15839,439,515
7.290688888888894,15840,439,515
7.305388888888899,15841,444,520
7.319311111111119,15842,445,521
7.333966666666669,15843,445,526
7.346866666666671,15844,446,527
7.360344444444451,15845,448,527
7.37485555555557,15846,448,526
7.3884000000000185,15847,448,526
7.402822222222227,15848,442,524
7.417733333333331,15849,442,523
7.430455555555568,15850,441,521
7.444166666666689,15851,441,521
7.457988888888906,15852,441,522
7.472477777777783,15853,441,524
7.486666666666679,15854,441,525
7.501277777777773,15855,445,523
7.513944444444462,15856,445,524
7.5274444444444555,15857,446,527
7.541766666666689,15858,446,529
7.555499999999995,15859,447,531
7.570255555555576,15860,446,526
7.584622222222237,15861,447,527
7.597588888888907,15862,440,523
7.611133333333356,15863,441,525
7.624733333333353,15864,442,526
7.640777777777799,15865,370,455
7.654155555555576,15866,371,456
7.667611111111114,15867,309,416
7.681122222222228,15868,310,417
7.694611111111129,15869,305,415
7.708766666666662,15870,307,416
7.722466666666662,15871,308,417
7.737544444444467,15872,305,424
7.751277777777773,15873,306,425
7.7648444444444635,15874,305,435
7.778555555555556,15875,306,436
7.791955555555575,15876,306,437
7.8065,15877,309,436
7.820511111111131,15878,310,436
7.835633333333334,15879,312,437
7.848455555555574,15880,313,437
7.862099999999998,15881,314,440
7.876088888888887,15882,315,441
7.889466666666664,15883,315,443
7.904422222222223,15884,314,444
7.91802222222222,15885,315,445
7.93180000000001,15886,313,451
7.945866666666689,15887,314,452
7.959011111111124,15888,314,453
7.973633333333339,15889,319,452
7.9871444444444535,15890,319,453
8.001900000000006,15891,319,454
8.01547777777779,15892,319,455
8.02911111111112,15893,319,452
8.043011111111127,15894,319,453
8.056622222222245,15895,319,454
8.071333333333342,15896,322,452
8.085322222222231,15897,322,453
8.099644444444465,15898,322,460
8.112655555555563,15899,321,461
8.126088888888887,15900,326,459
8.140566666666672,15901,325,460
