epoch,lsl_ts,unix_ts,TP9,AF7,AF8,TP10,AUX
366304,366304.03584462503,1701916455.0,-72.265625,-19.04296875,-31.73828125,-0.9765625,117.1875
366304,366304.03960485,1701916455.0,-62.98828125,-23.92578125,-39.0625,-5.859375,-69.82421875
366304,366304.043365075,1701916455.0,-64.94140625,-1.953125,-36.62109375,7.32421875,-135.25390625
366304,366304.0471253,1701916455.0,-72.265625,15.625,-33.69140625,21.484375,-79.58984375
366304,366304.050885525,1701916455.0,-100.09765625,9.765625,-39.55078125,11.71875,6.8359375
366304,366304.05464575,1701916455.0,-94.7265625,2.9296875,-32.2265625,3.41796875,-47.36328125
366304,366304.058405975,1701916455.0,-61.5234375,-7.8125,-23.4375,9.27734375,-28.3203125
366304,366304.0621662,1701916455.0,-60.05859375,-11.23046875,-34.1796875,8.7890625,208.49609375
366304,366304.065926425,1701916455.0,-75.1953125,-14.16015625,-31.25,-0.48828125,572.75390625
366304,366304.06968665,1701916455.0,-52.734375,-15.13671875,-35.15625,-5.859375,287.109375
366304,366304.073446875,1701916455.0,-6.34765625,-13.671875,-37.59765625,0.48828125,-80.078125
366304,366304.0772071,1701916455.0,-9.765625,-12.20703125,-37.109375,3.41796875,33.203125
366304,366304.0814222833,1701916455.0,-32.71484375,-8.30078125,-45.8984375,0.0,98.14453125
366304,366304.08563746663,1701916455.0,-33.203125,-5.859375,-51.7578125,-4.8828125,28.3203125
366304,366304.08985265,1701916455.0,-22.4609375,2.44140625,-48.33984375,0.48828125,-61.5234375
366304,366304.0940678333,1701916455.0,-40.0390625,-0.9765625,-62.5,1.953125,-62.01171875
366304,366304.09828301665,1701916455.0,-62.5,-3.41796875,-83.49609375,-5.859375,-107.421875
366304,366304.1024982,1701916455.0,-69.3359375,11.71875,-79.1015625,-6.8359375,-206.0546875
366304,366304.10671338334,1701916455.0,-70.80078125,17.08984375,-85.44921875,-12.6953125,-152.34375
366304,366304.11092856666,1701916455.0,-59.08203125,13.18359375,-108.88671875,-4.39453125,112.3046875
366304,366304.11514375,1701916455.0,-59.5703125,4.8828125,-155.2734375,-0.48828125,53.7109375
366304,366304.1193589333,1701916455.0,-111.328125,-4.8828125,-188.4765625,-17.08984375,-220.703125
366304,366304.1235741167,1701916455.0,-143.5546875,-5.859375,-193.84765625,-17.578125,-173.828125
366304,366304.1277893,1701916455.0,-140.13671875,2.44140625,-197.265625,-17.578125,-114.2578125
366304,366304.13355228334,1701916455.0,-139.6484375,6.8359375,-192.3828125,-19.04296875,-134.27734375
366304,366304.1393152666,1701916455.0,-152.83203125,3.90625,-182.12890625,-30.2734375,-175.29296875
366304,366304.14507825,1701916455.0,-166.015625,7.32421875,-167.48046875,-43.9453125,-142.08984375
366304,366304.1508412333,1701916455.0,-170.41015625,6.34765625,-158.203125,-40.0390625,-141.6015625
366304,366304.15660421667,1701916455.0,-152.83203125,8.30078125,-141.11328125,-24.4140625,-138.671875
366304,366304.1623672,1701916455.0,-146.484375,7.32421875,-130.859375,-29.78515625,-73.73046875
366304,366304.1681301833,1701916455.0,-155.2734375,-2.9296875,-138.18359375,-41.015625,59.5703125
366304,366304.17389316665,1701916455.0,-137.20703125,-5.37109375,-147.94921875,-34.1796875,404.296875
366304,366304.17965615,1701916455.0,-119.140625,-10.25390625,-154.296875,-32.2265625,284.66796875
366304,366304.1854191333,1701916455.0,-113.28125,-3.41796875,-157.2265625,-31.25,-27.34375
366304,366304.1911821166,1701916455.0,-115.72265625,13.671875,-114.74609375,-31.25,-56.640625
366304,366304.1969451,1701916455.0,-111.328125,17.578125,-52.24609375,-26.85546875,-156.25
366304,366304.1991647083,1701916455.0,-96.6796875,19.53125,-71.2890625,-19.53125,-176.26953125
366304,366304.20138431666,1701916455.0,-86.42578125,17.08984375,-103.515625,-15.13671875,-121.58203125
366304,366304.20360392495,1701916455.0,-69.3359375,15.13671875,-88.8671875,-23.92578125,-48.828125
366304,366304.2058235333,1701916455.0,-15.625,22.94921875,-61.03515625,-27.83203125,29.78515625
366304,366304.20804314164,1701916455.0,34.1796875,28.80859375,-66.40625,-21.97265625,-15.13671875
366304,366304.21026275,1701916455.0,36.1328125,20.01953125,-73.2421875,-17.578125,86.42578125
366304,366304.2124823583,1701916455.0,23.4375,7.32421875,-61.03515625,-16.11328125,264.16015625
366304,366304.2147019667,1701916455.0,44.43359375,7.32421875,-54.19921875,-26.85546875,192.3828125
366304,366304.216921575,1701916455.0,78.125,4.8828125,-54.6875,-35.64453125,41.9921875
366304,366304.2191411833,1701916455.0,91.796875,-1.46484375,-49.8046875,-28.3203125,18.5546875
366304,366304.22136079165,1701916455.0,93.75,-4.39453125,-41.9921875,-22.94921875,109.86328125
366304,366304.2235804,1701916455.0,94.23828125,-4.39453125,-33.69140625,-28.3203125,44.921875
366304,366304.22867202497,1701916455.0,104.00390625,-5.859375,-28.3203125,-31.73828125,-122.55859375
366304,366304.23376365,1701916455.0,116.69921875,-9.765625,-27.83203125,-26.85546875,-20.99609375
366304,366304.238855275,1701916455.0,102.05078125,-5.859375,-31.73828125,-26.85546875,222.16796875
366304,366304.2439469,1701916455.0,82.51953125,5.37109375,-31.73828125,-44.921875,71.2890625
366304,366304.249038525,1701916455.0,69.82421875,18.06640625,-27.83203125,-39.55078125,-178.7109375
366304,366304.25413014996,1701916455.0,26.85546875,29.78515625,-27.34375,-26.3671875,81.0546875
366304,366304.259221775,1701916455.0,-23.92578125,28.3203125,-20.99609375,-23.92578125,285.15625
366304,366304.26431339997,1701916455.0,-83.984375,13.671875,-22.94921875,-41.9921875,-16.6015625
366304,366304.269405025,1701916455.0,-109.375,5.37109375,-22.4609375,-52.24609375,-109.375
366304,366304.27449665,1701916455.0,-68.359375,9.765625,-3.41796875,-41.9921875,54.19921875
366304,366304.279588275,1701916455.0,-37.59765625,4.39453125,16.11328125,-38.57421875,-27.34375
366304,366304.2846799,1701916455.0,-54.6875,-0.9765625,15.625,-44.43359375,-261.23046875
366304,366304.28740531666,1701916455.0,-67.87109375,1.953125,15.625,-45.41015625,-277.83203125
366304,366304.29013073334,1701916455.0,-58.10546875,-3.41796875,18.5546875,-39.55078125,-60.05859375
366304,366304.29285614996,1701916455.0,-52.24609375,-22.94921875,23.4375,-43.45703125,-18.06640625
366304,366304.29558156664,1701916455.0,-59.5703125,-31.73828125,30.76171875,-54.6875,-318.359375
366304,366304.2983069833,1701916455.0,-98.6328125,-24.4140625,11.71875,-57.12890625,-250.9765625
366304,366304.3010324,1701916455.0,-86.42578125,-21.484375,-4.8828125,-68.359375,-69.82421875
366304,366304.30375781667,1701916455.0,-52.734375,-25.390625,-12.6953125,-76.171875,-89.84375
366304,366304.30648323335,1701916455.0,-49.31640625,-42.96875,-14.6484375,-70.80078125,-143.5546875
366304,366304.30920865,1701916455.0,-40.0390625,-37.109375,-11.23046875,-85.9375,-173.828125
366304,366304.31193406665,1701916455.0,-30.2734375,-14.16015625,-4.8828125,-96.19140625,-46.38671875
366304,366304.3146594833,1701916455.0,-0.9765625,-19.53125,-8.30078125,-84.47265625,-3.41796875
366304,366304.3173849,1701916455.0,38.0859375,-28.3203125,-10.25390625,-70.80078125,-79.58984375
366304,366304.3233682667,1701916455.0,45.41015625,-16.6015625,4.39453125,-60.546875,7.8125
366304,366304.3293516333,1701916455.0,29.296875,-12.6953125,9.765625,-52.734375,165.52734375
366304,366304.335335,1701916455.0,26.3671875,-17.08984375,6.34765625,-62.98828125,27.34375
366304,366304.34131836664,1701916455.0,54.6875,-13.18359375,15.13671875,-52.24609375,-156.73828125
366304,366304.34730173333,1701916455.0,52.734375,-17.578125,12.6953125,-40.0390625,-86.9140625
366304,366304.35328509996,1701916455.0,14.6484375,-26.3671875,-4.8828125,-54.19921875,-49.8046875
366304,366304.35926846665,1701916455.0,-4.8828125,-35.64453125,-23.92578125,-52.24609375,-107.91015625
366304,366304.36525183334,1701916455.0,-58.59375,-37.59765625,-36.62109375,-43.9453125,-166.9921875
366304,366304.3712352,1701916455.0,-125.0,-31.73828125,-46.875,-41.015625,-92.28515625
366304,366304.37721856666,1701916455.0,-143.5546875,-37.59765625,-66.89453125,-50.78125,149.90234375
366304,366304.3832019333,1701916455.0,-124.0234375,-46.38671875,-76.66015625,-55.17578125,-3.90625
366304,366304.3891853,1701916455.0,-98.6328125,-41.9921875,-58.59375,-36.1328125,-150.87890625
366304,366304.391644125,1701916455.0,-126.953125,-43.9453125,-54.6875,-32.2265625,14.6484375
366304,366304.39410295,1701916455.0,-165.52734375,-39.55078125,-60.546875,-43.45703125,-32.2265625
366304,366304.396561775,1701916455.0,-186.03515625,-34.66796875,-49.31640625,-45.41015625,-130.859375
366304,366304.39902059996,1701916455.0,-166.50390625,-33.69140625,-40.52734375,-38.0859375,-136.23046875
366304,366304.40147942497,1701916455.0,-144.53125,-19.04296875,-50.29296875,-22.94921875,-98.14453125
366304,366304.40393825,1701916455.0,-185.05859375,-4.8828125,-45.41015625,-18.5546875,-120.60546875
366304,366304.406397075,1701916455.0,-194.3359375,5.37109375,-45.41015625,-25.390625,-183.59375
366304,366304.4088559,1701916455.0,-173.828125,8.7890625,-62.98828125,-22.94921875,-111.328125
366304,366304.41131472494,1701916455.0,-155.76171875,14.16015625,-66.89453125,-9.765625,-0.48828125
366304,366304.41377354995,1701916455.0,-138.18359375,5.37109375,-58.10546875,-8.7890625,-42.48046875
366304,366304.41623237496,1701916455.0,-134.27734375,0.0,-50.29296875,-14.6484375,-132.8125
366304,366304.4186912,1701916455.0,-121.58203125,5.859375,-55.6640625,-5.859375,-91.796875
366304,366304.4216447,1701916455.0,-92.28515625,7.8125,-64.453125,5.859375,19.53125
366304,366304.42459819996,1701916455.0,-86.42578125,-2.9296875,-68.84765625,10.25390625,-9.765625
366304,366304.4275517,1701916455.0,-104.00390625,-12.20703125,-56.640625,7.32421875,-103.02734375
366304,366304.4305052,1701916455.0,-97.65625,-18.06640625,-56.640625,10.7421875,-45.41015625
366304,366304.43345869996,1701916455.0,-83.0078125,-21.484375,-54.6875,24.4140625,36.62109375
366304,366304.4364122,1701916455.0,-88.37890625,-9.27734375,-49.31640625,32.71484375,14.16015625
366304,366304.4393657,1701916455.0,-121.58203125,5.37109375,-60.546875,25.87890625,30.76171875
366304,366304.44231919997,1701916455.0,-154.296875,10.7421875,-66.89453125,18.06640625,217.7734375
366304,366304.4452727,1701916455.0,-163.57421875,8.30078125,-74.21875,24.4140625,582.51953125
366304,366304.4482262,1701916455.0,-154.78515625,8.30078125,-93.26171875,20.5078125,492.1875
366304,366304.4511797,1701916455.0,-171.38671875,15.13671875,-100.09765625,9.765625,93.75
366304,366304.4541332,1701916455.0,-158.69140625,18.06640625,-103.515625,13.18359375,-14.16015625
366304,366304.4587595833,1701916455.0,-92.28515625,20.01953125,-102.05078125,20.01953125,-16.11328125
366304,366304.46338596666,1701916455.0,-62.01171875,18.5546875,-85.44921875,24.90234375,-112.3046875
366304,366304.46801235003,1701916455.0,-84.47265625,9.27734375,-72.265625,28.3203125,-136.23046875
366304,366304.47263873334,1701916455.0,-106.4453125,-1.46484375,-71.77734375,21.484375,-74.70703125
366304,366304.47726511664,1701916455.0,-83.984375,-7.32421875,-71.2890625,16.6015625,-131.34765625
366304,366304.4818915,1701916455.0,-53.7109375,-0.9765625,-62.01171875,24.90234375,-195.3125
366304,366304.4865178834,1701916455.0,-58.10546875,-2.44140625,-62.01171875,19.53125,-162.59765625
366304,366304.4911442667,1701916455.0,-84.9609375,-13.18359375,-64.453125,10.7421875,303.7109375
366304,366304.49577065,1701916455.0,-98.14453125,-29.296875,-75.1953125,12.20703125,349.12109375
366304,366304.50039703335,1701916455.0,-95.21484375,-43.45703125,-85.9375,6.34765625,-94.7265625
366304,366304.5050234167,1701916455.0,-92.28515625,-37.59765625,-77.1484375,10.25390625,-104.98046875
366304,366304.5096498,1701916455.0,-108.3984375,-43.45703125,-73.2421875,9.27734375,-69.3359375
366304,366304.51327862503,1701916455.0,-91.30859375,-49.8046875,-72.75390625,8.7890625,-130.859375
366304,366304.51690745004,1701916455.0,-70.80078125,-46.875,-67.87109375,13.671875,-102.5390625
366304,366304.520536275,1701916455.0,-55.17578125,-38.57421875,-20.5078125,14.16015625,-45.41015625
366304,366304.5241651,1701916455.0,-60.05859375,-32.71484375,1.46484375,11.23046875,-75.68359375
366304,366304.527793925,1701916455.0,-95.21484375,-36.1328125,-35.15625,8.30078125,-61.5234375
366304,366304.53142275,1701916455.0,-79.58984375,-31.73828125,-41.015625,15.625,-27.83203125
366304,366304.535051575,1701916455.0,-42.48046875,-24.4140625,-32.71484375,29.296875,96.19140625
366304,366304.5386804,1701916455.0,-46.38671875,-32.2265625,-39.55078125,20.99609375,167.48046875
366304,366304.542309225,1701916455.0,-68.84765625,-41.015625,-36.62109375,3.41796875,-5.859375
366304,366304.54593805,1701916455.0,-73.2421875,-38.57421875,-21.484375,1.953125,-141.6015625
366304,366304.549566875,1701916455.0,-65.4296875,-35.15625,-29.78515625,10.7421875,111.81640625
366304,366304.5531957,1701916455.0,-46.875,-42.48046875,-41.015625,20.99609375,365.72265625
366304,366304.5572471083,1701916455.0,-57.6171875,-47.8515625,-41.50390625,-5.859375,41.9921875
366304,366304.56129851664,1701916455.0,-51.7578125,-41.50390625,-30.2734375,-10.25390625,-193.359375
366304,366304.56534992496,1701916455.0,-27.83203125,-49.31640625,-26.3671875,-0.48828125,-103.515625
366304,366304.56940133334,1701916455.0,-34.66796875,-57.6171875,-31.73828125,-3.90625,-64.94140625
366304,366304.57345274166,1701916455.0,-71.77734375,-52.734375,-24.4140625,-11.71875,-127.44140625
366304,366304.57750415,1701916455.0,-63.96484375,-51.7578125,-11.23046875,-10.25390625,-142.08984375
366304,366304.5815555583,1701916455.0,-28.3203125,-55.6640625,-7.8125,8.30078125,123.046875
366304,366304.58560696663,1701916455.0,-13.671875,-57.6171875,-8.7890625,14.6484375,89.35546875
366304,366304.589658375,1701916455.0,-17.578125,-51.26953125,2.44140625,11.71875,-252.9296875
366304,366304.59370978334,1701916455.0,-25.87890625,-50.29296875,-0.48828125,6.34765625,-243.1640625
366304,366304.59776119166,1701916455.0,-17.578125,-59.5703125,-5.37109375,0.9765625,-86.42578125
366304,366304.6018126,1701916455.0,-8.7890625,-61.5234375,-4.39453125,6.34765625,-92.28515625
366304,366304.606521775,1701916455.0,-9.765625,-58.59375,-16.11328125,9.27734375,-130.859375
366304,366304.61123095,1701916455.0,-7.8125,-58.59375,-21.484375,1.953125,9.27734375
