id,lsl_ts,unix_ts,TP9,AF7,AF8,TP10,AUX
1,11283.702781342148,1706651972.0,-20.99609375,130.859375,-21.484375,-40.0390625,-123.046875
2,11283.70656754979,1706651972.0,-36.1328125,128.90625,-11.23046875,-15.625,-113.76953125
3,11283.710353757433,1706651972.0,-56.15234375,131.34765625,-24.90234375,-40.0390625,-100.09765625
4,11283.714139965075,1706651972.0,-67.87109375,118.65234375,-36.1328125,-56.640625,-74.70703125
5,11283.717926172718,1706651972.0,-49.8046875,101.07421875,-29.78515625,-50.78125,97.65625
6,11283.72171238036,1706651972.0,-26.85546875,101.5625,-20.99609375,-44.43359375,163.0859375
7,11283.725498588003,1706651972.0,-46.38671875,91.30859375,-21.97265625,-50.78125,86.9140625
8,11283.729284795645,1706651972.0,-85.44921875,71.77734375,-28.80859375,-63.4765625,122.55859375
9,11283.733071003287,1706651972.0,-73.2421875,71.2890625,-33.69140625,-78.61328125,244.140625
10,11283.73685721093,1706651972.0,-44.921875,80.078125,-32.2265625,-77.63671875,85.9375
11,11283.740643418572,1706651972.0,-55.6640625,74.70703125,-30.2734375,-57.12890625,1.46484375
12,11283.744429626215,1706651972.0,-96.6796875,62.01171875,-34.1796875,-51.26953125,10.7421875
13,11283.748215833857,1706651972.0,-92.7734375,62.01171875,-30.2734375,-58.59375,-117.1875
14,11283.7520020415,1706651972.0,-56.640625,64.94140625,-22.94921875,-54.6875,-65.91796875
15,11283.755788249142,1706651972.0,-49.31640625,53.7109375,-28.80859375,-45.8984375,-14.6484375
16,11283.759574456784,1706651972.0,-83.0078125,45.41015625,-33.203125,-44.43359375,54.6875
17,11283.763360664427,1706651972.0,-91.796875,47.36328125,-27.34375,-43.45703125,96.6796875
18,11283.76714687207,1706651972.0,-55.6640625,39.0625,-23.4375,-39.55078125,-43.9453125
19,11283.770933079712,1706651972.0,-32.71484375,34.1796875,-23.4375,-39.0625,0.48828125
20,11283.774719287354,1706651972.0,-58.59375,26.85546875,-21.97265625,-23.4375,376.953125
21,11283.788556073,1706651972.0,-79.1015625,18.06640625,-21.484375,-10.7421875,619.62890625
22,11283.793418393212,1706651972.0,-61.5234375,28.80859375,-18.06640625,-31.25,225.5859375
23,11283.798280713425,1706651972.0,-31.25,30.76171875,-10.25390625,-32.2265625,-88.37890625
24,11283.803143033638,1706651972.0,-46.38671875,21.97265625,-8.30078125,-31.25,-48.828125
25,11283.80800535385,1706651972.0,-84.47265625,21.484375,-15.13671875,-45.41015625,-75.68359375
26,11283.812867674063,1706651972.0,-55.17578125,23.4375,-19.53125,-40.52734375,-142.578125
27,11283.817729994276,1706651972.0,-16.11328125,18.06640625,-14.6484375,-25.87890625,-152.83203125
28,11283.82259231449,1706651972.0,-28.80859375,12.20703125,-17.08984375,-21.484375,-38.0859375
29,11283.827454634702,1706651972.0,-68.84765625,6.8359375,-26.3671875,-29.296875,-22.4609375
30,11283.832316954915,1706651972.0,-62.5,-0.9765625,-32.2265625,-32.2265625,-155.76171875
31,11283.837179275128,1706651972.0,-26.85546875,-10.25390625,-34.66796875,-22.94921875,-62.98828125
32,11283.84204159534,1706651972.0,-21.484375,-20.5078125,-36.62109375,-1.953125,73.2421875
33,11283.846903915553,1706651972.0,-52.24609375,-24.4140625,-40.52734375,-11.23046875,-59.5703125
34,11283.851766235766,1706651972.0,-60.546875,-30.2734375,-48.828125,-24.4140625,-105.95703125
35,11283.85662855598,1706651972.0,-23.92578125,-55.17578125,-50.78125,-12.20703125,15.625
36,11283.861490876192,1706651972.0,6.8359375,-82.51953125,-48.828125,13.18359375,236.328125
37,11283.866353196405,1706651972.0,-20.5078125,-83.49609375,-48.828125,20.01953125,29.78515625
38,11283.871215516618,1706651972.0,-64.94140625,-97.16796875,-51.7578125,-17.08984375,-273.4375
39,11283.87607783683,1706651972.0,-49.8046875,-124.51171875,-63.96484375,-29.78515625,-170.41015625
40,11283.880940157043,1706651972.0,-9.27734375,-139.6484375,-72.265625,-11.23046875,-131.8359375
41,11283.86663714939,1706651972.0,-17.08984375,-158.203125,-72.265625,-7.32421875,-137.6953125
42,11283.870286620442,1706651972.0,-57.6171875,-174.8046875,-73.2421875,-14.16015625,-101.5625
43,11283.873936091495,1706651972.0,-55.17578125,-197.265625,-75.68359375,-28.80859375,51.7578125
44,11283.877585562548,1706651972.0,-7.8125,-210.9375,-76.66015625,-23.92578125,104.98046875
45,11283.881235033601,1706651972.0,-9.765625,-215.33203125,-78.125,-5.37109375,-3.41796875
46,11283.884884504654,1706651972.0,-61.5234375,-228.515625,-76.171875,-5.859375,-125.48828125
47,11283.888533975707,1706651972.0,-56.640625,-240.234375,-72.265625,0.0,-13.671875
48,11283.89218344676,1706651972.0,-12.20703125,-246.58203125,-74.70703125,0.9765625,415.52734375
49,11283.895832917813,1706651972.0,0.9765625,-241.69921875,-78.61328125,0.48828125,196.2890625
50,11283.899482388866,1706651972.0,-35.15625,-244.140625,-83.0078125,-0.48828125,-150.87890625
51,11283.903131859919,1706651972.0,-58.59375,-257.8125,-82.51953125,-12.20703125,-64.94140625
52,11283.906781330972,1706651972.0,-29.78515625,-264.16015625,-77.1484375,-23.4375,-98.6328125
53,11283.910430802025,1706651972.0,-4.8828125,-278.3203125,-77.1484375,-15.13671875,-179.19921875
54,11283.914080273078,1706651972.0,-25.87890625,-288.0859375,-78.125,-0.48828125,-5.859375
55,11283.917729744131,1706651972.0,-55.6640625,-280.2734375,-77.63671875,-0.9765625,246.09375
56,11283.921379215184,1706651972.0,-34.1796875,-265.13671875,-73.2421875,-16.11328125,3.41796875
57,11283.925028686237,1706651972.0,0.0,-259.27734375,-70.3125,-10.7421875,-170.8984375
58,11283.92867815729,1706651972.0,-11.23046875,-270.01953125,-69.82421875,5.37109375,18.06640625
59,11283.932327628343,1706651972.0,-50.29296875,-276.85546875,-75.68359375,-1.953125,173.828125
60,11283.935977099396,1706651972.0,-45.8984375,-281.25,-80.56640625,-28.3203125,21.484375
61,11283.941720237832,1706651972.0,-3.41796875,-279.78515625,-69.82421875,-27.83203125,-115.234375
62,11283.945565432756,1706651972.0,10.7421875,-270.01953125,-61.5234375,1.46484375,59.08203125
63,11283.94941062768,1706651972.0,-26.85546875,-265.625,-65.4296875,11.71875,116.2109375
64,11283.953255822604,1706651972.0,-43.45703125,-266.6015625,-68.359375,-10.25390625,-114.74609375
65,11283.957101017528,1706651972.0,-7.32421875,-265.13671875,-67.3828125,-15.13671875,-203.125
66,11283.960946212452,1706651972.0,11.23046875,-263.671875,-64.453125,9.27734375,-58.59375
67,11283.964791407376,1706651972.0,-27.34375,-257.32421875,-53.7109375,7.32421875,43.45703125
68,11283.9686366023,1706651972.0,-51.26953125,-250.0,-54.19921875,-10.25390625,110.83984375
69,11283.972481797224,1706651972.0,-19.04296875,-242.1875,-58.59375,-17.08984375,76.171875
70,11283.976326992148,1706651972.0,18.5546875,-236.81640625,-55.6640625,17.08984375,183.59375
71,11283.980172187072,1706651972.0,-7.32421875,-235.3515625,-51.26953125,36.62109375,332.51953125
72,11283.984017381996,1706651972.0,-51.26953125,-227.05078125,-54.19921875,1.953125,21.484375
73,11283.98786257692,1706651972.0,-25.87890625,-232.91015625,-60.05859375,-18.06640625,-191.89453125
74,11283.991707771844,1706651972.0,17.578125,-230.95703125,-55.6640625,-0.9765625,-56.640625
75,11283.995552966768,1706651972.0,4.8828125,-216.796875,-53.22265625,-1.953125,49.8046875
76,11283.999398161692,1706651972.0,-44.921875,-208.0078125,-46.38671875,-6.34765625,-100.09765625
77,11284.003243356616,1706651972.0,-33.203125,-206.0546875,-38.57421875,10.25390625,-124.0234375
78,11284.00708855154,1706651972.0,14.16015625,-200.1953125,-43.45703125,14.6484375,254.8828125
79,11284.010933746464,1706651972.0,19.53125,-189.94140625,-38.0859375,19.04296875,321.77734375
80,11284.014778941388,1706651972.0,-35.15625,-185.546875,-37.59765625,8.7890625,-94.7265625
81,11284.017700053028,1706651972.0,-48.828125,-187.5,-44.921875,3.41796875,-122.0703125
82,11284.02153815552,1706651972.0,-1.953125,-192.87109375,-41.50390625,9.765625,134.765625
83,11284.025376258014,1706651972.0,29.296875,-175.78125,-31.25,22.4609375,9.27734375
84,11284.029214360507,1706651972.0,-13.671875,-171.38671875,-26.3671875,16.6015625,-31.25
85,11284.033052463,1706651972.0,-62.01171875,-171.875,-33.203125,-16.11328125,110.3515625
86,11284.036890565494,1706651972.0,-22.4609375,-163.57421875,-37.109375,-22.4609375,-2.9296875
87,11284.040728667987,1706651972.0,19.53125,-157.2265625,-43.45703125,-20.99609375,-163.57421875
88,11284.04456677048,1706651972.0,-13.671875,-150.390625,-44.921875,-19.04296875,-208.49609375
89,11284.048404872974,1706651972.0,-76.171875,-151.85546875,-47.8515625,-21.484375,-75.1953125
90,11284.052242975467,1706651972.0,-62.01171875,-145.5078125,-53.7109375,-39.0625,64.453125
91,11284.05608107796,1706651972.0,3.90625,-128.41796875,-44.43359375,-24.4140625,22.4609375
92,11284.059919180454,1706651972.0,1.46484375,-120.1171875,-34.66796875,-5.37109375,41.015625
93,11284.063757282947,1706651972.0,-53.7109375,-125.0,-39.55078125,-8.7890625,180.6640625
94,11284.06759538544,1706651972.0,-55.17578125,-129.39453125,-40.52734375,-11.23046875,365.234375
