id,lsl_ts,unix_ts,TP9,AF7,AF8,TP10,AUX
1,853499.9732638721,1705745221.0,967.7734375,987.3046875,181.15234375,-552.734375,-290.0390625
2,853499.9770420949,1705745221.0,967.7734375,965.33203125,166.015625,-569.3359375,-184.08203125
3,853499.9808203178,1705745221.0,967.7734375,923.33984375,140.625,-559.5703125,17.08984375
4,853499.9845985406,1705745221.0,967.7734375,945.80078125,119.62890625,-500.48828125,-48.828125
5,853499.9925514819,1705745221.0,967.7734375,937.5,93.75,-454.58984375,-122.55859375
6,853499.9969954066,1705745221.0,967.7734375,999.51171875,73.2421875,-466.30859375,-5.37109375
7,853500.0014393312,1705745221.0,967.7734375,369.140625,-184.5703125,-454.1015625,250.9765625
8,853500.0058832559,1705745221.0,967.7734375,-99.12109375,-253.41796875,-426.26953125,400.390625
9,853500.0103271805,1705745221.0,968.26171875,686.03515625,72.265625,-415.0390625,63.4765625
10,853500.0147711051,1705745221.0,968.26171875,979.00390625,14.6484375,-390.625,-181.640625
11,853500.0192150298,1705745221.0,967.7734375,354.98046875,-159.1796875,-344.7265625,-24.4140625
12,853500.0236589544,1705745221.0,967.7734375,257.8125,-60.546875,-335.9375,114.2578125
13,853500.0281028791,1705745221.0,968.26171875,768.06640625,44.921875,-311.5234375,-16.11328125
14,853500.0325468037,1705745221.0,968.26171875,833.49609375,-14.16015625,-265.625,-54.6875
15,853500.0369907283,1705745221.0,967.7734375,473.6328125,-124.0234375,-305.6640625,124.51171875
16,853500.041434653,1705745221.0,967.7734375,555.6640625,-43.45703125,-307.6171875,13.18359375
17,853500.0458785776,1705745221.0,967.7734375,729.98046875,-14.6484375,-308.59375,-191.40625
18,853500.0503225023,1705745221.0,967.7734375,286.62109375,-246.58203125,-295.8984375,-28.3203125
19,853500.0547664269,1705745221.0,967.7734375,-363.28125,-340.33203125,-219.7265625,275.390625
20,853500.0592103516,1705745221.0,967.7734375,68.359375,-51.7578125,-204.1015625,141.11328125
21,853500.0636542762,1705745221.0,968.26171875,611.81640625,27.34375,-237.3046875,-114.2578125
22,853500.0680982008,1705745221.0,968.26171875,196.2890625,-200.68359375,-218.75,-15.13671875
23,853500.0725421255,1705745221.0,967.7734375,123.046875,-222.16796875,-184.08203125,84.47265625
24,853500.0769860501,1705745221.0,967.7734375,500.48828125,-29.78515625,-151.85546875,-55.17578125
25,853500.0761478756,1705745221.0,968.26171875,550.29296875,-17.578125,-173.828125,-66.40625
26,853500.0799553583,1705745221.0,967.7734375,325.1953125,-114.74609375,-193.359375,52.734375
27,853500.083762841,1705745221.0,967.7734375,60.05859375,-242.67578125,-193.84765625,-23.92578125
28,853500.0875703236,1705745221.0,967.7734375,352.5390625,-146.484375,-227.5390625,-199.70703125
29,853500.0913778063,1705745221.0,967.7734375,806.640625,-12.6953125,-235.83984375,-263.671875
30,853500.0951852889,1705745221.0,967.7734375,166.50390625,-298.33984375,-200.68359375,162.59765625
31,853500.0989927716,1705745221.0,967.7734375,-351.07421875,-405.76171875,-177.24609375,332.51953125
32,853500.1028002542,1705745221.0,967.7734375,251.953125,-125.0,-209.9609375,69.82421875
33,853500.1066077369,1705745221.0,967.7734375,480.95703125,-114.2578125,-184.08203125,-17.578125
34,853500.1104152196,1705745221.0,967.7734375,-238.28125,-397.94921875,-140.625,31.73828125
35,853500.1142227022,1705745221.0,967.7734375,-517.08984375,-378.41796875,-186.5234375,153.3203125
36,853500.1180301849,1705745221.0,967.7734375,505.37109375,1.46484375,-211.42578125,-128.41796875
37,853500.1218376675,1705745221.0,968.26171875,571.2890625,-50.78125,-197.75390625,-168.9453125
38,853500.1256451502,1705745221.0,968.26171875,279.296875,-118.1640625,-193.84765625,-92.7734375
39,853500.1294526329,1705745221.0,968.26171875,459.47265625,-50.29296875,-194.82421875,-153.3203125
40,853500.1332601155,1705745221.0,967.7734375,591.30859375,-21.97265625,-157.2265625,-182.12890625
41,853500.1370675982,1705745221.0,967.7734375,228.515625,-184.08203125,-140.625,-159.66796875
42,853500.1408750808,1705745221.0,967.7734375,-265.13671875,-326.171875,-182.12890625,-106.4453125
43,853500.1446825635,1705745221.0,967.7734375,-131.8359375,-205.078125,-201.171875,-54.6875
44,853500.1484900462,1705745221.0,968.26171875,149.4140625,-124.0234375,-203.125,19.53125
45,853500.1566463782,1705745221.0,967.7734375,-99.12109375,-315.4296875,-196.2890625,91.30859375
46,853500.1592840077,1705745221.0,967.7734375,-327.1484375,-310.05859375,-177.24609375,69.3359375
47,853500.1619216372,1705745221.0,967.7734375,241.2109375,5.859375,-145.99609375,-82.51953125
48,853500.1645592668,1705745221.0,967.7734375,557.12890625,34.1796875,-148.92578125,-201.66015625
49,853500.1671968963,1705745221.0,968.26171875,-12.6953125,-204.1015625,-145.99609375,28.3203125
50,853500.1698345258,1705745221.0,967.7734375,-692.3828125,-400.87890625,-160.64453125,227.05078125
51,853500.1724721553,1705745221.0,967.7734375,-27.83203125,-72.75390625,-177.734375,-74.21875
52,853500.1751097848,1705745221.0,967.7734375,382.8125,-9.27734375,-133.7890625,-225.09765625
53,853500.1777474143,1705745221.0,967.7734375,27.83203125,-165.52734375,-112.79296875,-95.703125
54,853500.1803850438,1705745221.0,967.7734375,-197.265625,-222.65625,-114.2578125,-3.41796875
55,853500.1830226734,1705745221.0,968.26171875,-212.890625,-209.47265625,-89.35546875,-4.39453125
56,853500.1856603029,1705745221.0,967.7734375,-127.44140625,-170.8984375,-116.69921875,-15.625
57,853500.1882979324,1705745221.0,967.7734375,-479.4921875,-354.00390625,-138.18359375,193.359375
58,853500.1909355619,1705745221.0,967.7734375,-1000.0,-666.9921875,-83.0078125,404.296875
59,853500.1935731914,1705745221.0,967.7734375,-466.796875,-312.5,-91.30859375,158.203125
60,853500.1962108209,1705745221.0,967.7734375,-108.88671875,-223.14453125,-89.84375,-457.03125
61,853500.1988484504,1705745221.0,967.7734375,-509.27734375,-378.90625,-52.24609375,-692.87109375
62,853500.20148608,1705745221.0,967.7734375,-59.08203125,-164.55078125,-50.78125,-318.84765625
63,853500.2041237095,1705745221.0,967.7734375,137.6953125,-212.40234375,-50.78125,-273.92578125
64,853500.206761339,1705745221.0,967.7734375,-41.015625,-271.484375,-21.97265625,-176.26953125
65,853500.2277363131,1705745221.0,967.7734375,-194.82421875,-304.6875,7.8125,4.8828125
66,853500.2314673396,1705745221.0,967.7734375,-190.4296875,-259.27734375,-13.671875,86.42578125
